Price,Close,High,Low,Open,Volume,Adj Close,daily_return,log_return,volatility_7d,volatility_14d,volatility_21d,volatility_30d
Ticker,600519.SS,600519.SS,600519.SS,600519.SS,600519.SS,,,,,,,
Date,,,,,,,,,,,,
2020-06-22,1292.8428955078125,1297.236238591316,1287.6319490720655,1289.338990812866,2324700,1292.8428955078125,-0.0005835529599317324,-0.000583723293229145,0.22474486113936978,0.19965387451899955,0.23695390311283,0.2338941022412345
2020-06-23,1324.7374267578125,1331.4756639234167,1287.919716432443,1289.2493776856297,3393426,1324.7374267578125,0.024670075042236395,0.024370682768952583,0.25457978070262843,0.216444283918243,0.23534094569543515,0.24181251720613584
2020-06-24,1327.04150390625,1332.2223394654059,1313.3985111871657,1330.304518275531,2513899,1327.04150390625,0.0017392708184267303,0.0017377600384534968,0.15744818632425653,0.21629094537797494,0.23396275840676967,0.24183597563655887
2020-06-29,1329.9139404296875,1332.4861623142908,1306.1363936697267,1316.1254863786448,2808061,1329.9139404296875,0.002164541587420077,0.0021622023422656718,0.15714277866734516,0.21271723081149183,0.22391076577203706,0.2398676149220676
2020-06-30,1329.650146484375,1335.1945748751662,1322.5968693275722,1329.868279926097,2244614,1329.650146484375,-0.0001983541470564898,-0.00019837382184207693,0.15904681986238514,0.20042006691088465,0.22458350432016433,0.23652611871482715
2020-07-01,1358.181640625,1368.934201348876,1330.6866135603505,1334.3041233357242,3868249,1358.181640625,0.02145789568486345,0.02123091630060982,0.17810129673435668,0.2135836675570199,0.22819785778643853,0.2338707132650756
2020-07-02,1403.38232421875,1409.653938402282,1358.844931805072,1362.4806373082295,4588372,1403.38232421875,0.03328029347602568,0.032738492611449406,0.2223046900493016,0.2446426443355492,0.2191413415082656,0.24797784585814164
2020-07-03,1401.37353515625,1411.1081004602884,1378.7321496401794,1408.8357846785486,3512581,1401.37353515625,-0.001431391166778595,-0.0014324165857486741,0.22431342568101018,0.22470620505299344,0.21679510047631817,0.24864662370396337
2020-07-06,1454.2821044921875,1468.8249255371093,1392.3024723087624,1397.928672943115,5182196,1454.2821044921875,0.03775479414204752,0.037059527686952976,0.26422434456500654,0.25697352878157204,0.2383327636598755,0.2652000999387312
2020-07-07,1534.267578125,1585.9127211238817,1455.1909908638181,1457.0906157438505,6666393,1534.267578125,0.054999971041204576,0.05354073947893425,0.3405680447325559,0.2714420109817579,0.287781449139241,0.2800044997754568
2020-07-08,1528.2142333984375,1562.4444315937149,1508.8177757100445,1526.996303128238,5316998,1528.2142333984375,-0.003945429606196926,-0.003953233346420383,0.3561888565114228,0.2831871378557396,0.29110453378034523,0.2771876370595419
2020-07-09,1550.6282958984375,1556.0818537972596,1528.8140643031488,1536.994401151382,3503324,1550.6282958984375,0.014666832705880317,0.014560314970488777,0.331437927668401,0.2769722669459947,0.2806594792931907,0.2759266321533751
2020-07-10,1557.763427734375,1578.4415025284309,1535.1220409260202,1535.176629765299,3710044,1557.763427734375,0.004601445655809666,0.004590891369014824,0.34762494353414336,0.2776956609654557,0.2811257617622831,0.26757824025470467
2020-07-13,1619.69775390625,1624.2514840668575,1558.5179753440568,1558.5179753440568,6072716,1619.69775390625,0.03975849289384903,0.03898846781512142,0.3593802967907742,0.2961811100749191,0.2982175628363043,0.2812580739131198
2020-07-14,1601.5283203125,1619.7341427731324,1589.1669434359746,1619.6977502121151,4609351,1601.5283203125,-0.01121779267146017,-0.0112811866471822,0.38829567398446974,0.31094205663768276,0.2926790137836052,0.2869247415428482
2020-07-15,1592.920654296875,1620.2520196468101,1585.8127884118837,1585.96734582779,4071294,1592.920654296875,-0.005374657385980752,-0.005389152818976054,0.3892356998046184,0.3196156375109103,0.2984673266945191,0.27599938546799757
